Date,Open,High,Low,Close,Volume
1970-01-01 00:00:00.020230213,0.692075,0.697375,0.689035,0.696585,-1
1970-01-01 00:00:00.020230214,0.696555,0.70301,0.69214,0.698485,-1
1970-01-01 00:00:00.020230215,0.69885,0.6989,0.686485,0.69033,-1
1970-01-01 00:00:00.020230216,0.690625,0.693635,0.68404,0.68789,-1
1970-01-01 00:00:00.020230217,0.68788,0.688445,0.681165,0.687885,-1
2023-02-17 00:00:00.000000000,0.68788,0.688445,0.681165,0.687885,-1
2023-02-20 00:00:00.000000000,0.6875,0.692075,0.686265,0.69083,-1
2023-02-21 00:00:00.000000000,0.6907,0.691995,0.68475,0.68533,-1
2023-02-22 00:00:00.000000000,0.68553,0.686495,0.67947,0.68046,-1
2023-02-23 00:00:00.000000000,0.680335,0.684195,0.678155,0.68081,-1
2023-02-24 00:00:00.000000000,0.68062,0.682415,0.671855,0.67255,-1
2023-02-27 00:00:00.000000000,0.6732,0.67449,0.669815,0.67386,-1
2023-02-28 00:00:00.000000000,0.67365,0.675775,0.670385,0.672885,-1
2023-03-01 00:00:00.000000000,0.67331,0.678375,0.669515,0.676175,-1
2023-03-02 00:00:00.000000000,0.6758,0.676605,0.670665,0.67301,-1
2023-03-03 00:00:00.000000000,0.67325,0.67748,0.67259,0.676715,-1
2023-03-06 00:00:00.000000000,0.6759,0.676965,0.67163,0.67303,-1
2023-03-07 00:00:00.000000000,0.6729,0.674805,0.65806,0.658345,-1
2023-03-08 00:00:00.000000000,0.65857,0.662905,0.656785,0.658855,-1
2023-03-09 00:00:00.000000000,0.658825,0.66363,0.65761,0.659,-1
2023-03-10 00:00:00.000000000,0.65905,0.664035,0.65643,0.657725,-1
2023-03-13 00:00:00.000000000,0.66162,0.671695,0.660095,0.66673,-1
2023-03-14 00:00:00.000000000,0.666875,0.66962,0.66318,0.66823,-1
2023-03-15 00:00:00.000000000,0.66825,0.67116,0.659,0.66189,-1
2023-03-16 00:00:00.000000000,0.661645,0.66687,0.661065,0.66561,-1
2023-03-17 00:00:00.000000000,0.665725,0.672485,0.66469,0.670035,-1
2023-03-20 00:00:00.000000000,0.671955,0.673005,0.6666,0.67183,-1
2023-03-21 00:00:00.000000000,0.671995,0.67265,0.66498,0.666865,-1
2023-03-22 00:00:00.000000000,0.66667,0.67588,0.66614,0.668455,-1
